,game_id,game_name,score,author,date,summary
0,0,Grand Theft Auto V,100,Playstation Official Magazine UK,"Jan 13, 2015","The best game on PS3 is now the best thing on PS4. A loving, comprehensive remaster of such quality, it's damn near as essential as oxygen. But it. Yesterday. [Jan 2015, p.91]"
1,0,Grand Theft Auto V,100,LEVEL (Czech Republic),"Jan  5, 2015","An excellent remake of an outstanding game that doesn't merely come with cosmetic improvements. What does it mean? You certainly need to have this piece at home, even if you have the original version. [Issue#248]"
2,0,Grand Theft Auto V,100,Quarter to Three,"Dec 19, 2014","With this latest version, Rockstar’s latest game is no longer just a masterpiece. It’s now a state-of-the-art technical marvel. On many levels, you haven’t seen what videogames can accomplish until you’ve played this version Grand Theft Auto V."
3,0,Grand Theft Auto V,100,Playstation Official Magazine Australia,"Dec 16, 2014","GTA V on PS4 does exactly what gamers everywhere have begged for since the PS3 iteration broke the industry. It provides you with an unprecedented level of freedom, then makes your eyes weep at how pretty it looks when you make the most of it . If you haven’t been introduced to Michael, Trevor and Franklin, then frankly we don’t know what on earth you were doing last year, but now is the perfect time to jump on board. It makes one of the medium’s best games even better. [January 2015, p70]"
4,0,Grand Theft Auto V,100,Toronto Sun,"Dec  2, 2014","Another rampage through Los Santos in the eyes of your character, rather than looking over his shoulder, is both a surprising and surprisingly impressive feature that adds a lot of value."
5,0,Grand Theft Auto V,100,Impulsegamer,"Dec  1, 2014","GTA 5 is still one of the best games money can buy and with the added features of the latest edition, it is worth upgrading your last gen copy."
6,0,Grand Theft Auto V,100,GamesRadar+,"Nov 29, 2014","This is how you do a next-gen remaster. Rockstar has pulled out all the stops to bring GTA V up to speed on PS4 and Xbox One. Beautiful, immersive, essential - it begs to be played all over again."
7,0,Grand Theft Auto V,100,GameOver.gr,"Nov 28, 2014",One of the best games of all time became even better. You should try this new-gen edition of GTA V even if by now you know Los Santos like the back of your hand.
8,0,Grand Theft Auto V,100,NZGamer,"Nov 27, 2014","A beautiful, expertly realised world."
9,0,Grand Theft Auto V,100,GRYOnline.pl,"Nov 27, 2014","After only a few hours of playing I knew everything I needed to write this review and I kept playing. GTA V is a master class of gaming, an explosion of ideas and details that will amaze everyone. You could have travelled across the entire game world and I'm sure, you haven't seen everything this game has to offer. Rockstar keeps surprising but right now does it in Full HD and with lots of cool new features."
10,0,Grand Theft Auto V,100,DarkStation,"Nov 26, 2014","If you held out this long to play Grand Theft Auto V, wait no longer. I wouldn’t call this a “definitive” version, but it is damn near close."
11,0,Grand Theft Auto V,100,Gamestyle,"Nov 25, 2014","The bar has been raised...Good luck reaching it, let alone clearing it."
12,0,Grand Theft Auto V,100,PlayStation Universe,"Nov 25, 2014","The first-person camera mode does more than change the flow and feeling of play. In Grand Theft Auto V on PS4, every movement and action carries more excitement and meaning. Alongside visual upgrades and content additions, this version of Rockstar's masterpiece is can't-miss gaming."
13,0,Grand Theft Auto V,100,Gaming Age,"Nov 24, 2014","The single player GTAV experience is so fulfilling that I didn’t expect to ever really get involved much with GTA Online. It didn’t take much to suck me in though, and it can be an addictive and fun time waster depending on who you roll with. I’ve spent a fair share of time online, and although it’s been slightly shaky here and there, nearly everything that Rockstar Games has promised is more or less working."
14,0,Grand Theft Auto V,100,IGN,"Nov 22, 2014","Its world is a truly astonishing achievement in so many ways, and these two versions are currently the best way to experience it, aside from the hobbled multiplayer matchmaking."
15,0,Grand Theft Auto V,100,Digitally Downloaded,"Nov 21, 2014","Grand Theft Auto V really surprised me. For a series I have had very little interest in the past outside an appreciate for technical proficiency, I found myself drawn into a world where lots of bad things happen to a good number of people - and I was often the one perpetrating these crimes. Call it self-aware social criticism or a guilty pleasure, Grand Theft Auto V proves to be a great deal of fun."
16,0,Grand Theft Auto V,100,Gameplanet,"Nov 20, 2014",Grand Theft Auto V for new-gen is without a doubt the best way to experience one of the biggest releases of the last half decade.
17,0,Grand Theft Auto V,100,VideoGamer,"Nov 20, 2014","The best version (so far) of one of last-gen's finest games, GTA 5's remaster is testament to how much difference a graphical overhaul can make, even just a year after release."
18,0,Grand Theft Auto V,100,Slant Magazine,"Nov 19, 2014","GTA V is Rockstar's midlife crisis: hostile, extravagant, but ultimately revealing a fascinating depth of self-loathing."
19,0,Grand Theft Auto V,100,Digital Spy,"Nov 19, 2014","This is the definitive version of one of the finest games of the last few years, and one that better lives up to Rockstar's lofty ambitions."
20,0,Grand Theft Auto V,100,Game Revolution,"Nov 18, 2014","For most, Grand Theft Auto V and GTA Online will continue to present the same frustrations in place of freedom. There’s no getting around the fact that this open-world game aims to deliver variety, largely does, and yet still steps on a few toes and the sensibilities of responsibly minded Americans. I can’t help but love the parody and the ensuing outcry."
21,0,Grand Theft Auto V,100,Power Unlimited,"Nov 17, 2014","Rockstar came, saw and conquered in 2013 and does exactly the same in 2014. So our grade for GTA V stands."
22,0,Grand Theft Auto V,100,Eurogamer Germany,"Nov 17, 2014","Not only does GTA V on PS4 and Xbox One set a new benchmark for HD remakes, it's also a challenge to the games originally made for this new generation."
23,0,Grand Theft Auto V,100,Eurogamer Spain,"Nov 17, 2014","It's more of the same? Yes. But it's also better, much better. GTA5 is as great as it was last year, and this version has lots of small changes - or big ones, like the first person camera - that make the experience even more enjoyable."
24,0,Grand Theft Auto V,100,IGN Italia,"Nov 17, 2014","The best version of one of the best games of the past generation. With lots of added details, new content, updated graphics and an interesting (albeit not perfect) first-person view, this is hands down the GTA V we'll give to the history books."
25,0,Grand Theft Auto V,100,Hardcore Gamer,"Nov 17, 2014","More than just a gimmick, the first-person mode really does change how it’s experienced by adding a new layer of gameplay. It won’t be for everybody, but the sheer fact that the option is there is commendable. More still, multiple new vehicles, weapons and animals have been introduced. If none of that were enough, over a hundred new songs have been added to the already robust radio stations."
26,0,Grand Theft Auto V,100,PlaySense,"Nov 17, 2014","Grand Theft Auto V shows how to bring a PS3 title to the PS4 the right way. With a vastly improved open-world containing more traffic density, pedestrians and better graphics. GTA V is among the most beautiful games available on the PS4. Innovation is key with GTA V, with not only the three protagonists, but now also the addition of a very well done first-person mode."
27,0,Grand Theft Auto V,100,JeuxActu,"Nov 17, 2014","A masterpiece among the best of them, GTA 5 is out on next gen consoles in an improved version, and it is hardly believable. Vastly improved graphics, a good use of the Dualshock 4's features and the FPS viewpoint make this version a contender for the hall of fame."
28,0,Grand Theft Auto V,100,Gameblog.fr,"Nov 17, 2014","Rockstar did it again. Not only is this new version of Grand Theft Auto V much prettier than the original version, it is also offers a new and convincing first person mode. Truly unmissable."
29,0,Grand Theft Auto V,100,Meristation,"Nov 17, 2014","GTA V represents the videogame at its finest. Tense and dramatic when it wants, joyful and surprising when the player wants it. Rockstar has managed to harmonize the different trends in the saga, managing to create an unforgettable experience that will be enjoyed for a long time to come. This new version comes with some interesting additions: FPS mode, new events and challenges and big GTA online seasons."
30,0,Grand Theft Auto V,100,God is a Geek,"Nov 17, 2014","Anyone concerned that this was just another money-spinning “definitive edition” can rest easy. As ever, Rockstar don’t do things by halves, and Grand Theft Auto V on PS4 feels truly next-gen. It’s not just a remake, it’s a testament to the quality of the original that GTA V can effortlessly stand among the best titles so far available on the new consoles and, in many cases, surpass them."
31,0,Grand Theft Auto V,100,Metro GameCentral,"Nov 17, 2014","An incredibly ambitious upgrade that not only improves the visuals and gameplay but, through the new first person view, offers a new way to play the best GTA ever."
32,0,Grand Theft Auto V,100,Eurogamer Italy,"Nov 17, 2014",Grand Theft Auto 5 has never been so nice to see and smooth to play: this new version is a further proof of the fine work that Rockstar infuses in every game.
33,0,Grand Theft Auto V,98,Game Informer,"Nov 21, 2014","I can’t stress just how much fun it is to experience Grand Theft Auto V again from a new perspective. The impact it has on the series is huge, but is somewhat muted from it debuting in a re-release and not a new entry in the series. I went into this review expecting to play the same game again, and I did, but Rockstar made it feel new."
34,0,Grand Theft Auto V,98,Digital Chumps,"Nov 18, 2014","The visual upgrade to Grand Theft Auto V on the current generation systems would be enough to warrant a re-purchase. It’s absolutely stunning and by far one of the best looking games on current gen. The additional online content, modes, cars, people and the inclusion first-person is just icing on the cake."
35,0,Grand Theft Auto V,98,Cheat Code Central,"Nov 17, 2014","It’s more than just a great game, it’s damn near perfect, and I don’t say that about many games. The attention to detail Rockstar has put into this new version is above and beyond what we are used to getting and set a new bar for all other developers out there wanting to re-release a great title on next-gen platforms."
36,0,Grand Theft Auto V,98,Gaming Nexus,"Nov 17, 2014","The first-person perspective manages to make a year-old game feel new again, and the changes made to the graphics, gameplay and online mode are substantial. One of 2013's best games is made even better on the PlayStation 4."
37,0,Grand Theft Auto V,97,Games Master UK,"Jan 29, 2015","The definitive version of what is quite possibly the greatest game ever made. It's worth reliving. [Feb 2015, p.58]"
38,0,Grand Theft Auto V,97,Play UK,"Dec 18, 2014","Truly spectacular, and certainly worth buying and playing again. [Issue#251, p.64]"
39,0,Grand Theft Auto V,97,PSX Extreme,"Nov 19, 2014","This is one of the best games ever constructed and yeah, it just got better."
40,0,Grand Theft Auto V,97,Multiplayer.it,"Nov 17, 2014",Everything’s better and bigger in this next-gen version of GTA V. And the first person view is something extremely fun to experience in multiplayer.
41,0,Grand Theft Auto V,96,Merlin'in Kazanı (Turkey),"Nov 24, 2014","If you didn't play GTA V on PS3/Xbox 360, don't think, just play it. If you have played GTA V on PS3/Xbox 360, again don't think, just play it. Because San Andreas calls all of us once again."
